hero,mean_rating,variance,num_types
Kiriko,0.01648645860195678,3.3101920919155616e-35,5
Reinhardt,0.027240198678714755,1.504632769052528e-35,5
Brigitte,0.027240198678714755,1.504632769052528e-35,5
Tracer,0.019307111736844112,1.504632769052528e-35,5
Symmetra,0.026887617036853863,1.504632769052528e-35,5
Zenyatta,0.027592780320575695,1.504632769052528e-35,5
Ashe,0.018425657632191825,9.027796614315168e-36,5
Zarya,0.01401838710893034,6.018531076210112e-36,5
Vendetta,0.014194677929860811,3.76158192263132e-36,5
Bastion,0.01525242285544356,3.76158192263132e-36,5
Anran,0.025477290469410156,0.0,5
Emre,0.016133876960095855,0.0,5
Ana,0.012079188078695261,0.0,5
Baptiste,0.010139989048460266,0.0,5
Cassidy,0.014723550392652182,0.0,5
D.Va,0.014723550392652182,0.0,5
Domina,0.020717438304287798,0.0,5
Doomfist,0.01824936681126137,0.0,5
Echo,0.0180730759903309,0.0,5
Junker Queen,0.02371438226010561,0.0,5
Jetpack Cat,0.01701533106474815,0.0,5
Illari,0.02406696390196651,0.0,5
Hazard,0.02371438226010561,0.0,5
Hanzo,0.01683904024381769,0.0,5
Genji,0.021598892408940088,0.0,5
Freja,0.010668861511251635,0.0,5
Juno,0.020717438304287798,0.0,5
Mercy,0.017544203527539527,0.0,5
Mizuki,0.02371438226010561,0.0,5
Orisa,0.0138420962879999,0.0,5
Junkrat,0.020364856662426867,0.0,5
Lúcio,0.02406696390196651,0.0,5
Mauga,0.02001227502056596,0.0,5
Mei,0.02406696390196651,0.0,5
Lifeweaver,0.020717438304287798,0.0,5
Roadhog,0.012079188078695314,0.0,5
Reaper,0.02635874457406246,0.0,5
Ramattra,0.022656637334522837,0.0,5
Pharah,0.025300999648479722,0.0,5
Moira,0.02001227502056596,0.0,5
Soldier: 76,0.017720494348469992,0.0,5
Sierra,0.02424325472289698,0.0,5
Sigma,0.02089372912521825,0.0,5
Torbjörn,0.028650525246158444,0.0,5
Sombra,0.0138420962879999,0.0,5
Sojourn,0.007848208376364296,0.0,5
Venture,0.02389067308103605,0.0,5
Winston,0.02547729046941017,0.0,5
Widowmaker,0.01102144315311256,0.0,5
Wuyang,0.019835984199635514,0.0,5
Wrecking Ball,0.020541147483357343,0.0,5
